Uralic-Hungarian,13
Tai Kadai-Kam Tai-Southwestern-Thai,56
Tai Kadai-Kam Tai-Central-Zhuang,16
Sino Tibetan-Tibeto Burman-Burmese,33
Sino Tibetan-Chinese-Xiang,38
Sino Tibetan-Chinese-Wu,80
Sino Tibetan-Chinese-Min Nan,47
Sino Tibetan-Chinese-Min Dong,9.5
Sino Tibetan-Chinese-Min Bein,10.9
Sino Tibetan-Chinese-Mandarin,935
Sino Tibetan-Chinese-Jin,48
Sino Tibetan-Chinese-Hakka,31
Sino Tibetan-Chinese-Gan,22
Sino Tibetan-Chinese-Cantonese,59
Quechuan-Quechua,8.9
Niger Congo-Atlantic Congo-Volta Congo-North-Mossi,7.6
Niger Congo-Atlantic Congo-Volta Congo-Kwa-Akan,11
Niger Congo-Atlantic Congo-Volta Congo-Benue Congo-Igboid-Igbo,24
Niger Congo-Atlantic Congo-Volta Congo-Benue Congo-Defoid-Yoruba,28
Niger Congo-Atlantic Congo-Volta Congo-Benue Congo-Bantoid-S-Shona,8.3
Niger Congo-Atlantic Congo-Volta Congo-Benue Congo-Bantoid-S-Nguni-Zulu,10.4
Niger Congo-Atlantic Congo-Volta Congo-Benue Congo-Bantoid-S-Nguni-Xhosa,7.6
Niger Congo-Atlantic Congo-Volta Congo-Benue Congo-Bantoid-N-Chichewa,12
Niger Congo-Atlantic Congo-Volta Congo-Benue Congo-Bantoid-J-Kirundi,8.8
Niger Congo-Atlantic Congo-Volta Congo-Benue Congo-Bantoid-J-Kinyarwanda,9.8
Niger Congo-Atlantic Congo-Volta Congo-Benue Congo-Bantoid-G-Swahili,26
Niger Congo-Atlantic Congo-Fula,24
Korean,76
Japonic-Japanese,127
Indo European-Slavic-West Slavic-Lechitic-Polish,40
Indo European-Slavic-West Slavic-Czech Slovak-Czech,10
Indo European-Slavic-South Slavic-Serbo Croatian,19
Indo European-Slavic-East Slavic-Ukrainian,30
Indo European-Slavic-East Slavic-Russian,160
Indo European-Slavic-East Slavic-Belarusian,7.6
Indo European-Italic-Romance-Italo Western-Western-Ibero Romance-Spanish,387
